S. No.,Monthly Rent,X - Mean,(X-MEAN)^2,,Monthly Rent,,,,,,,,,,,,,
1,30100,-15471,239351841,,30100,,,A),,,,,,,,,,
2,30500,-15071,227135041,,30500,,,significance value,,0.1,,N = 200,,,,,,
3,30900,-14671,215238241,,30900,,,confidence value,,90%,,z = -1.65 and +1.65,,,,,,
4,30900,-14671,215238241,,30900,,,,,,,S.D./SQRT(N) = ,,526.0064591,,Z*s.d/sqrt(n) = ,,867.9106575
5,31000,-14571,212314041,,31000,,,confidence interval,,44703.08934,TO,46438.91066,,,,,,
6,31000,-14571,212314041,,31000,,,,,,,,,,,,,
7,31900,-13671,186896241,,31900,,,,,,,,,,,,,
8,32200,-13371,178783641,,32200,,,B),,,,,,,,,,
9,32500,-13071,170851041,,32500,,,significance value,,0.01,,,,,,,,
10,32700,-12871,165662641,,32700,,,confidence value,,99%,,z = -2.58 and +2.58,,,,,,
11,32900,-12671,160554241,,32900,,,,,,,Z*s.d/sqrt(n) = ,,1357.096664,,,,
12,33000,-12571,158030041,,33000,,,confidence interval,,44213.90334,TO,46928.09666,,,,,,
13,33100,-12471,155525841,,33100,,,,,,,,,,,,,
14,33200,-12371,153041641,,33200,,,,,,,,,,,,,
15,33200,-12371,153041641,,33200,,,C),,,,,,,,,,
16,33400,-12171,148133241,,33400,,,significance value,,0.05,,,,,,,,
17,33600,-11971,143304841,,33600,,,confidence value,,95%,,z = -1.96 and +1.96,,,,,,
18,34100,-11471,131583841,,34100,,,,,,,z*s.d./sqrt(n) = ,,1030.97266,,,,
19,34200,-11371,129299641,,34200,,,confidence interval,,44540.02734,TO,46601.97266,,,,,,
20,34200,-11371,129299641,,34200,,,,,,,,,,,,,
21,34400,-11171,124791241,,34400,,,YES the rent fixed by the boss lie inside the 95% confidence for monthly rent,,,,,,,,,,
22,34400,-11171,124791241,,34400,,,,,,,,,,,,,
23,35100,-10471,109641841,,35100,,,,,,,,,,,,,
24,35700,-9871,97436641,,35700,,,,,,,,,,,,,
25,36000,-9571,91604041,,36000,,,,,,,,,,,,,
26,36600,-8971,80478841,,36600,,,,,,,,,,,,,
27,37100,-8471,71757841,,37100,,,,,,,,,,,,,
28,37300,-8271,68409441,,37300,,,,,,,,,,,,,
29,37800,-7771,60388441,,37800,,,,,,,,,,,,,
30,37900,-7671,58844241,,37900,,,,,,,,,,,,,
31,38200,-7371,54331641,,38200,,,,,,,,,,,,,
32,38200,-7371,54331641,,38200,,,,,,,,,,,,,
33,38300,-7271,52867441,,38300,,,,,,,,,,,,,
34,38700,-6871,47210641,,38700,,,,,,,,,,,,,
35,38900,-6671,44502241,,38900,,,,,,,,,,,,,
36,39100,-6471,41873841,,39100,,,,,,,,,,,,,
37,39200,-6371,40589641,,39200,,,,,,,,,,,,,
38,40000,-5571,31036041,,40000,,,,,,,,,,,,,
39,40100,-5471,29931841,,40100,,,,,,,,,,,,,
40,40100,-5471,29931841,,40100,,,,,,,,,,,,,
41,40400,-5171,26739241,,40400,,,,,,,,,,,,,
42,40500,-5071,25715041,,40500,,,,,,,,,,,,,
43,40500,-5071,25715041,,40500,,,,,,,,,,,,,
44,40700,-4871,23726641,,40700,,,,,,,,,,,,,
45,40700,-4871,23726641,,40700,,,,,,,,,,,,,
46,40800,-4771,22762441,,40800,,,,,,,,,,,,,
47,40900,-4671,21818241,,40900,,,,,,,,,,,,,
48,41000,-4571,20894041,,41000,,,,,,,,,,,,,
49,41000,-4571,20894041,,41000,,,,,,,,,,,,,
50,41100,-4471,19989841,,41100,,,,,,,,,,,,,
,,,,,Q1,,,,,,,,,,,,,
51,41300,-4271,18241441,,41300,,,,,,,,,,,,,
52,41400,-4171,17397241,,41400,,,,,,,,,,,,,
53,41400,-4171,17397241,,41400,,,,,,,,,,,,,
54,41500,-4071,16573041,,41500,,,,,,,,,,,,,
55,41600,-3971,15768841,,41600,,,,,,,,,,,,,
56,41600,-3971,15768841,,41600,,,,,,,,,,,,,
57,41700,-3871,14984641,,41700,,,,,,,,,,,,,
58,41700,-3871,14984641,,41700,,,,,,,,,,,,,
59,41800,-3771,14220441,,41800,,,,,,,,,,,,,
60,41900,-3671,13476241,,41900,,,,,,,,,,,,,
61,41900,-3671,13476241,,41900,,,,,,,,,,,,,
62,42000,-3571,12752041,,42000,,,,,,,,,,,,,
63,42100,-3471,12047841,,42100,,,,,,,,,,,,,
64,42200,-3371,11363641,,42200,,,,,,,,,,,,,
65,42300,-3271,10699441,,42300,,,,,,,,,,,,,
66,42300,-3271,10699441,,42300,,,,,,,,,,,,,
67,42300,-3271,10699441,,42300,,,,,,,,,,,,,
68,42500,-3071,9431041,,42500,,,,,,,,,,,,,
69,42600,-2971,8826841,,42600,,,,,,,,,,,,,
70,42600,-2971,8826841,,42600,,,,,,,,,,,,,
71,42600,-2971,8826841,,42600,,,,,,,,,,,,,
72,42700,-2871,8242641,,42700,,,,,,,,,,,,,
73,42900,-2671,7134241,,42900,,,,,,,,,,,,,
74,43000,-2571,6610041,,43000,,,,,,,,,,,,,
75,43100,-2471,6105841,,43100,,,,,,,,,,,,,
76,43100,-2471,6105841,,43100,,,,,,,,,,,,,
77,43400,-2171,4713241,,43400,,,,,,,,,,,,,
78,43700,-1871,3500641,,43700,,,,,,,,,,,,,
79,43700,-1871,3500641,,43700,,,,,,,,,,,,,
80,43800,-1771,3136441,,43800,,,,,,,,,,,,,
81,43800,-1771,3136441,,43800,,,,,,,,,,,,,
82,43900,-1671,2792241,,43900,,,,,,,,,,,,,
83,43900,-1671,2792241,,43900,,,,,,,,,,,,,
84,43900,-1671,2792241,,43900,,,,,,,,,,,,,
85,43900,-1671,2792241,,43900,,,,,,,,,,,,,
86,44000,-1571,2468041,,44000,,,,,,,,,,,,,
87,44200,-1371,1879641,,44200,,,,,,,,,,,,,
88,44300,-1271,1615441,,44300,,,,,,,,,,,,,
89,44400,-1171,1371241,,44400,,,,,,,,,,,,,
90,44400,-1171,1371241,,44400,,,,,,,,,,,,,
91,44600,-971,942841,,44600,,,,,,,,,,,,,
92,44600,-971,942841,,44600,,,,,,,,,,,,,
93,44600,-971,942841,,44600,,,,,,,,,,,,,
94,44600,-971,942841,,44600,,,,,,,,,,,,,
95,44600,-971,942841,,44600,,,,,,,,,,,,,
96,44600,-971,942841,,44600,,,,,,,,,,,,,
97,44700,-871,758641,,44700,,,,,,,,,,,,,
98,44800,-771,594441,,44800,,,,,,,,,,,,,
99,44800,-771,594441,,44800,,,,,,,,,,,,,
100,44900,-671,450241,,44900,,,,,,,,,,,,,
,,,,,Q2,,,,,,,,,,,,,
101,45000,-571,326041,,45000,,,,,,,,,,,,,
102,45000,-571,326041,,45000,,,,,,,,,,,,,
103,45300,-271,73441,,45300,,,,,,,,,,,,,
104,45400,-171,29241,,45400,,,,,,,,,,,,,
105,45400,-171,29241,,45400,,,,,,,,,,,,,
106,45400,-171,29241,,45400,,,,,,,,,,,,,
107,45500,-71,5041,,45500,,,,,,,,,,,,,
108,45500,-71,5041,,45500,,,,,,,,,,,,,
109,45500,-71,5041,,45500,,,,,,,,,,,,,
110,45500,-71,5041,,45500,,,,,,,,,,,,,
111,45800,229,52441,,45800,,,,,,,,,,,,,
112,45800,229,52441,,45800,,,,,,,,,,,,,
113,46400,829,687241,,46400,,,,,,,,,,,,,
114,46500,929,863041,,46500,,,,,,,,,,,,,
115,46700,1129,1274641,,46700,,,,,,,,,,,,,
116,46800,1229,1510441,,46800,,,,,,,,,,,,,
117,46900,1329,1766241,,46900,,,,,,,,,,,,,
118,46900,1329,1766241,,46900,,,,,,,,,,,,,
119,46900,1329,1766241,,46900,,,,,,,,,,,,,
120,46900,1329,1766241,,46900,,,,,,,,,,,,,
121,47000,1429,2042041,,47000,,,,,,,,,,,,,
122,47100,1529,2337841,,47100,,,,,,,,,,,,,
123,47100,1529,2337841,,47100,,,,,,,,,,,,,
124,47300,1729,2989441,,47300,,,,,,,,,,,,,
125,47300,1729,2989441,,47300,,,,,,,,,,,,,
